title,date,star,text
Service très bien automatisé et très…,2021-03-02T17:26:01+00:00,5,"Service très bien automatisé et très sécurisé avec les dernières technologies. Accord de principe très rapide. Tout fait avec mon smartphone, aucun papier avec la signature électronique."
Très satisfaite,2021-03-02T17:17:23+00:00,5,Date de l'expérience:2 mars 2021
Je suis ravi du bon déroulement et le…,2021-03-02T17:08:12+00:00,4,Je suis ravi du bon déroulement et le traitement de mondossier tout c'est bien déroulé comme prévu merci à la conseillère
Super équipe,2021-03-02T16:48:20+00:00,5,"Super équipe, super service rien à dire."
Assez rapide et sérieux,2021-03-02T16:38:43+00:00,4,Date de l'expérience:2 mars 2021
A chaque fois que j ai affaire a un…,2021-03-02T16:22:07+00:00,5,A chaque fois que j ai affaire a un commercial de votre entreprise j en suis ravie énergique souriant ne presse prend le temps de explique disponible sincèrement bravo car ce n est pas facile au téléphone
Super COFIDIS,2021-03-02T16:21:58+00:00,5,Super COFIDISBon courage a vousPendant cette pandémieJe le constate chaque jour de la gravité car je travaille aux urgences de l'hôpital de FréjusPrenez soin de vous
Réponse très rapide,2021-03-02T16:17:44+00:00,5,"Réponse très rapide , explications très claires"
Très sérieux,2021-03-02T16:07:07+00:00,4,Date de l'expérience:2 mars 2021
etude rapide et serieuse,2021-03-02T16:02:26+00:00,5,Date de l'expérience:2 mars 2021
je suis client chez Cofidis depuis…,2021-03-02T15:56:09+00:00,5,je suis client chez Cofidis depuis longtempschez Cofidis tout est clair et détaillé Ils sont très réactifs
Rien à dire,2021-03-02T15:52:01+00:00,5,"Rien à dire, service compétent et conseillère très agréable."
FACILITE ET RAPIDITE,2021-03-02T15:43:04+00:00,4,Date de l'expérience:18 février 2021
EXCELLENT SERVICE,2021-03-02T15:28:51+00:00,5,J’ai particulièrement apprécié la réactivité à obtenirréponse rapide à ma demande. Le suivi personnalisé et le délai de traitement.
Très bien,2021-03-02T15:26:17+00:00,5,Très bienPersonnel à l'ecoutd
TRESCONTENTE PARCE QUE L ONT ME…,2021-03-02T15:15:42+00:00,4,TRESCONTENTE PARCE QUE L ONT ME REJETE SUR BEAUCOUP DE BANQUE ET LA COFIDIS MA ACCEPTÉ DONC SATISFAITE J ATTENDSPROCHAINE FOIS AVOIR PLUS SI POSSIBLE MERCI BIEN CORDIALEMENT Mme SARR
Toujours à l’écoute toujours agréable…,2021-03-02T15:09:49+00:00,5,Toujours à l’écoute toujours agréable toujours on prend le temps de me répondre parfait je suis très satisfaite à 100 pour-cent
excelent,2021-03-02T15:01:05+00:00,5,excellent et rapide
Service de suivi rapide,2021-03-02T15:00:57+00:00,5,Service de suivi rapide. L'alternative du support numérique est un élément capital.
un seul mot parfait,2021-03-02T14:52:55+00:00,5,Date de l'expérience:2 mars 2021
Rapidite écoute adaptabilité,2021-03-02T14:51:55+00:00,5,Date de l'expérience:2 mars 2021
Très satisfait de votre offre,2021-03-02T14:49:31+00:00,5,Très satisfait de votre offreÉcoute et suivis au top
J'ai souvent fait appel à cofidis et…,2021-03-02T14:31:12+00:00,4,"J'ai souvent fait appel à cofidis et pour ma part tout était très clair, et rapide...."
super,2021-03-02T14:30:44+00:00,5,super très bien
Satisfait des services,2021-03-02T14:27:00+00:00,5,Satisfait des services;JE CONSEILLE VIVEMENT .
Service client 5 étoiles,2021-03-02T14:23:02+00:00,5,Service client 5 étoilesTraitement des dossier rapideLe top
De bon conseil et une réponse rapide,2021-03-02T14:22:41+00:00,5,Date de l'expérience:2 mars 2021
Après réflexion sur cette proposition…,2021-03-02T14:18:42+00:00,5,Après réflexion sur cette proposition j'ai accepté et la simplicité et rapidité font que aucun regrets.
Accueil personnalisé par téléphone,2021-03-02T14:18:28+00:00,5,"Accueil personnalisé par téléphone, prise en compte de la demande du client, réponse rapide."
Contente d cofidis et de service clientc,2021-03-02T14:17:46+00:00,5,Date de l'expérience:2 mars 2021
Pour moi le top,2021-03-02T14:17:40+00:00,5,Pour moi le topAimable au téléphone Pas avare d explications Et le dossier traiter rapidement Tres professionnel A conseiller à 100%
Réponse rapide et clair de la part de…,2021-03-02T14:15:27+00:00,4,Réponse rapide et clair de la part de Cofidis.
Bonne entreprise,2021-03-02T14:08:03+00:00,5,C est une bonne entreprise qui gère leur dossier 📂 rapidement.
Excellent !,2021-03-02T14:06:54+00:00,5,Excellente 👌 prise en compte de ma demande et facilité des démarches. Un accueil et un suivi de qualité. Bravo.
je n'ai jamais eu de problemes,2021-03-02T14:06:33+00:00,4,Date de l'expérience:2 mars 2021
rapidité de décision..contact…,2021-03-02T14:06:29+00:00,5,rapidité de décision..contact agréable..simplicitérien à redire..
maison de crédits sérieuses a…,2021-03-02T14:06:21+00:00,5,maison de crédits sérieuses a recommander.
Les taux sont trop élevés.,2021-03-02T14:01:24+00:00,4,Date de l'expérience:2 mars 2021
Mon expérience pour un regroupement de crédits,2021-03-02T14:00:55+00:00,5,"Réponse de principe rapideMontage de dossier facile si on sait lire attentivement les indications qui sont données (ce qui n'a pas été mon cas)Seul petit bémol : au téléphone ce n'est pas un correspondant attitré qui répond, contrairement aux mails, mais sans problème pour les réponses apportées. C'est juste un peu déstabilisant"
Très à l écoute dossier vite géré,2021-03-02T13:56:08+00:00,5,Date de l'expérience:2 mars 2021
Le dossier,2021-03-02T13:53:21+00:00,5,Le dossier. C Est déroulé très vite et très sérieux.
Je suis très satisfait de cofidis je pense que c’est les meilleurs,2021-03-02T13:53:09+00:00,5,Date de l'expérience:2 mars 2021
Excellents services et produits…,2021-03-02T13:50:32+00:00,5,"Excellents services et produits proposés par Cofidis.La qualité des interlocuteurs est particulièrement appréciable.Clarté et précision dans les échanges font très nettement la différence avec d'autres organismes.La digitalisation facilite grandement le traitement des dossiers, qui sont étudiés très rapidement."
RAPIDE ET AU TOP,2021-03-02T13:48:45+00:00,5,Date de l'expérience:2 mars 2021
Très bien,2021-03-02T13:48:40+00:00,5,"Très bien, je recommande"
Rapide et efficace,2021-03-02T13:47:06+00:00,5,Date de l'expérience:17 février 2021
Excellente société de crédit avec de…,2021-03-02T13:44:56+00:00,5,Excellente société de crédit avec de bon taux et un excellent service client Je le recommande hautement 👍
UN MOT SEULEMENT EFFICACITE,2021-03-02T13:43:12+00:00,5,Date de l'expérience:2 mars 2021
Réactivité des conseillers...toujours à…,2021-03-02T13:34:18+00:00,5,Réactivité des conseillers...toujours à l'écoute.
Je vous remercie pour votre…,2021-03-02T12:54:41+00:00,5,Je vous remercie pour votre savoir-faire pour débloquer les fonds
contact facile,2021-03-02T10:24:04+00:00,4,contact facile. réponse rapide
satisfait,2021-03-02T08:22:19+00:00,5,professionnel et courtois;
tres bon service de Cofidis.,2021-03-02T08:21:57+00:00,4,Date de l'expérience:2 mars 2021
Très Très satisfait,2021-03-02T08:10:09+00:00,5,Date de l'expérience:2 mars 2021
Très kon accueil et très reactif pour…,2021-03-02T08:01:11+00:00,5,Très kon accueil et très reactif pour faire le dossier personne au téléphone très agréable
Rapide et efficace,2021-03-02T05:58:38+00:00,5,Date de l'expérience:2 mars 2021
Rapide et efficace,2021-03-02T04:09:51+00:00,5,Date de l'expérience:2 mars 2021
Rapidité simplicité,2021-03-02T02:05:58+00:00,5,Date de l'expérience:2 mars 2021
je suis tres satisfait de vos service…,2021-03-01T22:39:00+00:00,5,je suis tres satisfait de vos service et je vous en remerci
service rapide et compétant,2021-03-01T22:09:15+00:00,5,Date de l'expérience:1 mars 2021
Très content de cofidis il mon sorti de…,2021-03-01T20:41:50+00:00,5,Très content de cofidis il mon aide merci
Parfait !!!,2021-03-01T20:18:41+00:00,5,Parfait !!! Service rapide et efficace.
Un service auprès des clients tres bien…,2021-03-01T19:15:33+00:00,5,Un service auprès des clients tres bien est accueillant
Rachat,2021-03-01T18:57:13+00:00,5,Très à l'écoute et efficace
bonjour a toute l equipe je suis tres…,2021-03-01T18:48:13+00:00,5,bonjour a toute l equipe je suis tres content de vos services et je vous dit merci de votre confiance
Un très bon accueil lors de mon appel…,2021-03-01T18:47:22+00:00,4,Un très bon accueil lors de mon appel suite SMS me disant qu'il y avait un problème sur l'envoi de dossier mais en fait tout était bon. Très pratique l'envoi du dossier numérisé. Je recommande
Merci aux conseillers pour leur…,2021-03-01T18:42:46+00:00,5,Merci aux conseillers pour leur patience et leur courtoisie .Bien cordialement
Bon contact,2021-03-01T18:39:59+00:00,5,Bon contact. Explications claires.
professionnel,2021-03-01T18:38:19+00:00,5,Date de l'expérience:1 mars 2021
J ai trouvé une écoute attentive et une…,2021-03-01T18:28:55+00:00,5,J ai trouvé une écoute attentive et une rapidité pour prendre en charge ma requête. Je vous remercie enormement
Espace client très clair..,2021-03-01T17:56:37Z,5,Espace client très clair... et un appel agréable et très agréable et très clair
cofidis est une bonne solution pour les…,2021-03-01T17:51:11Z,5,"cofidis est une bonne solution pour les prêts perso , les conseillers sont trsè gentils et un bon accueil"
super contente efficace et rapide,2021-03-01T17:46:36Z,5,Date de l'expérience:1 mars 2021
Rapide et efficace,2021-03-01T17:19:23Z,5,Après avoir fourni les documents nécessaire pour la demande du crédit la repose fut rapide et tant positive la somme demandée obtenue rapidement sur le compte
Je suis très satisfait de Cofidis,2021-03-01T17:17:11Z,5,Date de l'expérience:1 mars 2021
réponse trés rapide,2021-03-01T17:16:17Z,5,"réponse trés rapide, au top"
Simple,2021-03-01T17:12:12Z,5,"Simple, efficace"
Bonjour bien reçu au téléphone la…,2021-03-01T17:00:39Z,5,Bonjour bien reçu au téléphone la personne c'est occupé de moi tre bien merci ala personne
Rapidité,2021-03-01T16:50:05Z,5,"Rapidité, à l'écoute"
Avis très rapide.,2021-03-01T16:38:55Z,4,"Avis très rapide. J’ai déjà fais affaire avec cofidis auparavant,et pas de problème Néanmoins nous sommes obligés d’attendre 8 jours avant d’avoir les fonds"
Simple,2021-03-01T16:20:58Z,5,"Simple, rapide et efficace !"
Merci pour m'avoir accepte le credit…,2021-03-01T16:20:20Z,5,Merci pour m'avoir accepte le credit que j'avais besoin je mets 5 etoiles vue la disponibiliter et la rapiditer que vous m'avez accorder;merci beaucoup cordialment
bon accueil et renseignement,2021-03-01T16:07:44Z,5,Date de l'expérience:1 mars 2021
"Bonjour aucun soucis avec vous ,rachat…",2021-03-01T16:07:24Z,5,"Bonjour aucun soucis avec vous ,rachat de crédit accepté je vous en remercie encore"
Service PARFAIT,2021-03-01T15:58:52Z,5,Date de l'expérience:1 mars 2021
très bon contact humain à l'écoute et…,2021-03-01T15:39:14Z,5,très bon contact humain à l'écoute et réactif au demande de très bon conseil je suis entièrement satisfais
Réactif rapidement,2021-03-01T15:36:06Z,5,Réactif rapidement.Très bien.
Aucun souci réponse rapide et virement…,2021-03-01T15:30:04Z,5,Aucun souci réponse rapide et virement à la date prévue.Super.Merci
Très satisfaite,2021-03-01T15:26:14Z,5,Très satisfaite. Excellent contact avec les agents Cofidis qui ont porté toute leur attention sur ma demande
Rapide,2021-03-01T15:20:11Z,5,"Rapide, pratique, sérieux."
bien,2021-03-01T15:17:56Z,5,très bon service
bonne écoute et réactivité,2021-03-01T15:06:07Z,5,bonne écoute et réactivité. Très sympa et disponible
Je suis Tee heureuse d avoir choisi…,2021-03-01T15:05:13Z,5,Je suis Tee heureuse d avoir choisi cofidis l accueil est excellent ainsi que les conseillers qui répondent à toutes mes questions ! Je suis très satisfaite et je recommande ! Merci à vous
Oui très satisfait bon accueil,2021-03-01T15:02:21Z,5,Date de l'expérience:1 mars 2021
Très satisfaite rapidité et amabilité,2021-03-01T15:00:52Z,5,Date de l'expérience:1 mars 2021
contact téléphonique agréable,2021-03-01T14:55:21Z,3,"contact téléphonique agréable contenu lié aux propositions classiquespeu d’échange sur des solutions autres possibles, pas de réflexion aidant a la décision en dehors de ce qui est proposéou bien le demandeur rentre dans la bonne et unique case ou alors tant pis pour luipour moi la solution positive trouvée ne m'a pas entièrement satisfaite bien que ma demande ait été acceptée"
Cofidis est un excellent choix pour…,2021-03-01T14:54:38Z,5,Cofidis est un excellent choix pour faire des petits crédits.
J ai reçu un accueil vraiment…,2021-03-01T14:49:05Z,5,J ai reçu un accueil vraiment magnifique et avec des propos très propres
Conseillère à l écoute et réactive,2021-03-01T14:48:34Z,5,Date de l'expérience:1 mars 2021
Très facile d'accès et réponse rapide…,2021-03-01T14:44:19Z,5,Très facile d'accès et réponse rapide par le net et pour moi par courrier. Merci
Cofidis à un service de qualité…,2021-03-01T14:22:05Z,5,"Cofidis à un service de qualité toujours proche de leurs clients, très à l'écoute, l'explication sur le contrat très clair et rien à dire. Je recommanderai cette société à mes entourages sans problème, ma conseillère a un savoir faire et êtres, très humaine et d'une gentillesse et très agréable à écouter."
Bonjour,2021-03-01T14:20:13Z,5,Bonjour Je suis cliente Cofidis est parfait 👍🤩
Très rapide et conseiller très gentil…,2021-03-01T14:18:43Z,5,Très rapide et conseiller très gentil et à l'écoute écoute de mon besoin
Je suis très satisfait,2021-03-01T14:09:40Z,5,"Je suis très satisfait , avec beaucoup de sérieux , d accompagnement,"
Il y a juste un soucis ou j'ai dû faire…,2021-03-01T14:06:52Z,4,"Il y a juste un soucis ou j'ai dû faire le dossier en papier, donc ça été plus long.Sinon tout à été bien."
très bon contactes,2021-03-01T14:03:09Z,5,très bon contactes et rapide
L ecoute,2021-03-01T14:02:05Z,5,L ecoute de la part de l operateur
Très satisfaite de l'organisme de…,2021-03-01T14:01:41Z,5,Très satisfaite de l'organisme de crédit Cofidis.Très réactif aux demandes.Communication courtoise et efficace. C'est un établissement fiable et structuré.Cordialement
Très satisfaite,2021-03-01T14:01:38Z,5,Date de l'expérience:1 mars 2021
Très content,2021-03-01T14:01:25Z,5,Bonjour très bien explique et serieux
rien a redire sur vos prestations,2021-03-01T14:00:14Z,5,Date de l'expérience:1 mars 2021
très réactif et très aimable toujours à…,2021-03-01T13:59:53Z,5,très réactif et très aimable toujours à l'écoute du client
Toujours satisfaite de Cofidis,2021-03-01T13:55:10Z,5,Toujours satisfaite de Cofidis. Jamais de soucis : réponse rapide et toujours joignable.
Aucun problème rien à dire rapidité et…,2021-03-01T13:55:07Z,5,Aucun problème rien à dire rapidité et efficacité.
Rapide efficace opérateur aimable et…,2021-03-01T13:54:45Z,5,Rapide efficace opérateur aimable et courtois et réponse rapide
Le service est très rapide,2021-03-01T13:49:09Z,5,Date de l'expérience:1 mars 2021
SUPER,2021-03-01T13:48:31Z,5,"SUPERTRES PRO, A L'ECOUTE RIEN DE NEGATIF."
Super au top rien à dire,2021-03-01T13:47:40Z,5,"Super au top rien à dire , très rapide"
....,2021-03-01T13:46:58Z,5,..............
Accueil très chaleureux,2021-03-01T13:45:23Z,5,Date de l'expérience:1 mars 2021
Aa l écoute et de bons conseils,2021-03-01T13:42:22Z,5,Date de l'expérience:1 mars 2021
Wi je suis ravie,2021-03-01T13:42:21Z,5,Date de l'expérience:1 mars 2021
Tres bonne accueil service impeccable,2021-03-01T13:42:07Z,5,Date de l'expérience:1 mars 2021
J'aiune demande de créditreçu mon…,2021-03-01T13:11:32Z,5,J'aiune demande de créditreçu mon dossier a mon domicile etfourni tous les documents demandés. Je toucheAAH plus apl .et j'ai peux emprunter 1000 €que je rembourse par mensualité. Ils y a mes la possibilité de faireun remboursement anticipévia l'application cofidisvous avezaccès à vos informations personnelles et votre emprunt ses vous avez un retard de salaire vous pouvez vial application cofidis changer la date deprélèvement etrecevez uncourrier deconfirmation à votre domicile. Et si vous avez un ordinateur vous pouvez faire directement votre demande de crédit en ligne en fournissant lesrenseignements nécessaires et vous rappelle par téléphone si nécessaire par un conseiller cofidisexpérience dedemande2020
Claire net précis,2021-03-01T11:28:15Z,5,Date de l'expérience:1 mars 2021
échanges téléphoniques efficaces et…,2021-02-28T17:25:21Z,5,échanges téléphoniques efficaces et professionnels...dossier rapidement traité..
Bonne communication,2021-02-28T10:04:42Z,5,Bonne communication. Facilité de mettre en place le dossier en envoyant un maximum de documents par mail. Suivi rapide et efficace jusqu'à la réponse.
Très satisfaite de l'accueil reçu,2021-02-27T08:58:02Z,4,Date de l'expérience:27 février 2021
TRES RAPIDE,2021-02-26T18:48:37Z,5,TRES RAPIDETRES SIMPLE
Service client excellent rapide et…,2021-02-26T17:37:48Z,5,Service client excellent rapide et facile je recommande
Rien a dire 👍🏽🤜🏽🤛🏽,2021-02-26T12:32:00Z,4,Date de l'expérience:26 février 2021
Merci pour votre réactivité et votre…,2021-02-26T10:48:11Z,5,Merci pour votre réactivité et votre professionnalisme !Rapidité pour l'obtention des fonds après transmission des documents demandés.Chapeau à votre conseiller et toute votre équipe.
Très professionnel,2021-02-25T22:07:57Z,5,"Très professionnel, à l'écoute du clientet très aimable au téléphone merci à vous"
Très bon accueil sans préjugé,2021-02-25T15:58:46Z,5,Date de l'expérience:8 février 2021
Suivi impeccable depuis la demande…,2021-02-25T09:05:30Z,5,Suivi impeccable depuis la demande jusqu’à la mise en place du fonds.
Excellent sur tout rapport,2021-02-24T18:57:42Z,5,Excellent sur tout rapport Réponse rapidePersonnes à l'écoute
Ecoute attentive,2021-02-24T18:30:54Z,4,"Ecoute attentive, personnel disponible"
Très rapide je recommande,2021-02-24T14:55:59Z,4,Date de l'expérience:24 février 2021
Réponse rapide disponibilités…,2021-02-24T12:05:55Z,5,Réponse rapide disponibilités flexibilité je recommande à 100 pour 100
Personnellement,2021-02-24T10:58:37Z,5,"Personnellement, je suis très satisfait de COFIDIS, et ce depuis des années.Les offres sont claires, simples et adaptées à chaque projet. Les dossiers sont simples à remplir et les réponses aux demandes sont rapides. Les relations téléphoniques et par mails avec les conseillés sont toujours courtoises, nettes et précises. On est toujours bien conseillé par rapport à nos possibilités de remboursement. Pour moi COFIDIS a toujours été à mes côtés pour répondre à toutes mes attentes. Un grand merci à toute l'équipe de COFIDIS."
Merci,2021-02-24T10:58:01Z,5,Mercipour aide a faire de projects
rapidité,2021-02-24T10:29:12Z,5,"rapidité, simplicité"
Rapide et facile.,2021-02-24T09:37:14Z,5,Rapide et facile.À l écoute. Je recommande vivement.
Demande de crédit simple et sans envoi…,2021-02-24T09:31:03Z,5,"Demande de crédit simple et sans envoi de courrier, réponse rapide et disposition des fonds rapidement: je recommander"
Je recommande cofidis à toute personne…,2021-02-24T08:55:03Z,4,Je recommande cofidis à toute personne qui voudraient faire un crédit parce que c'est simple et rapide avec cofidis
Société de crédits à l'écoute du client…,2021-02-24T08:42:20Z,5,Société de crédits à l'écoute du client contact avec les conseillers sans problème bon accueil et répond très poliment aux questions. Merci.
je suis très satisfait des rapports…,2021-02-24T08:40:05Z,5,je suis très satisfait des rapports avec mon conseillergrande efficacité de vos services
Très contente de COFIDIS,2021-02-24T08:31:07Z,5,"Très contente de COFIDIS , les conseillers sont à notre écoute et la rapidité à laquelle ont nous repond pour des crédits."
Professionalisme,2021-02-24T08:23:18Z,5,ProfessionalismeÉcoute Compréhension PatienceCompétences..... Quelque soit le collaborateur J'ai eu à faire à d'autre organisme.... JE N'AI PAS TROUVÉ MIEUXUN GRAND MERCI
Je suis ravie d être parmi les clients…,2021-02-24T08:18:03Z,5,Je suis ravie d être parmi les clients les plus fidèles et je remercie l équipes de cofidis
Rapide et sérieux,2021-02-24T08:14:14Z,5,Rapide et sérieux. Vous appelle toute suite s'il manque des pièces pour éviter retard des fonds
Comme d'habitude parfait et clair.,2021-02-24T08:00:25Z,5,Rien à dire Cofidis est à l'écoute et jusqu'à maintenant ils sont toujours sus me donner mes réponses à mes questions ou une solution à mes problèmes. Mon avis personnel Cofidis est le meilleur et le plus sérieux pour le crédit moi j'ai 100% confiance.
Très content du déroulement,2021-02-24T07:56:41Z,5,"Très content du déroulement totalement sans contact et via téléchargement et signature électronique. Cela a été très facile d'obtenir mon prêt, je suis très content"
Bonjour oui je suis satisfait cela…,2021-02-24T07:55:54Z,5,Bonjour oui je suis satisfait cela c'est bien passé merci
Satisfait,2021-02-24T07:08:43Z,5,Satisfait du déroulement de la demande et de l'instruction du crédit.
vos compétence on ete parfaite et une…,2021-02-24T06:20:09Z,5,vos compétence on ete parfaite et une réponse rapide je vous en remercie tout est parfait . a bientot
UNE EQUIPE DE CONSEILLERS AU TOP,2021-02-24T06:17:12Z,5,Un accueil chaleureux. Une équipe à l'écoute et efficace. Merci pour votre professionnalisme.
Service de confiance,2021-02-24T05:21:54Z,4,Service accueil de qualite
Ils pratiquent globalement des taux…,2021-02-24T05:00:39Z,3,"Ils pratiquent globalement des taux élevés et ciblent une clientèle a besoin sans risques, je les pensent profité de la crise. Ils inonde aussi beaucoup de courier."
Bonjour,2021-02-24T04:59:43Z,5,"Bonjour, je vous ais mis 5 étoiles pour la rapidité du crédit et l'acceptation qui a été rapide je vous remercie pour cela, et bien accueilli par les interlocuteurs par téléphone merci pour votre compréhension bonne journée"
J'attends toujours mon solde disponible…,2021-02-24T00:37:16Z,3,J'attends toujours mon solde disponible sois disans le 24 donc aujourd'hui et toujours rien 😑
Je suis très content des services de…,2021-02-23T22:43:43Z,5,Je suis très content des services de cofidis
Je tiens à souligner le sérieux del…,2021-02-23T21:39:49Z,4,"Je tiens à souligner le sérieux del équipe Cofidis dans l' élaboration du montage des dossiers d emprunt.Chaque pièce fournie est vérifiée.Un merci particulier à Valérie Pamelard et à Guillaume pour leur disponibilité respective, sans oublierleur accueil chaleureux.Annie Vicente"
Très bonne accueil et très bien…,2021-02-23T21:26:20Z,4,Très bonne accueil et très bien renseigné
Au top..,2021-02-23T21:10:16Z,5,Au top.. Merci à vous.
Très très bien très heureux chaque fois…,2021-02-23T20:07:51Z,5,Très très bien très heureux chaque fois que j’ai fait appel à vous
Interlocuteurs très sympas,2021-02-23T20:05:15Z,5,"Interlocuteurs très sympas, demande et acceptation très rapides, mon projet a été vite réalisé. Merci"
Tres bien,2021-02-23T19:57:09Z,5,Tres bile virement a été vite sur mon compteses très rapides
Une équipe compétente a mon écoute qui…,2021-02-23T19:33:59Z,5,Une équipe compétente a mon écoute qui a su répondre à ma demande en tenant compte de toutes mes explications...
Par le passé j'ai déjà fait un crédit…,2021-02-23T19:33:32Z,5,"Par le passé j'ai déjà fait un crédit chez Cofidis aucun problème, j'ai refait une demande chez eux car ils sont toujours présent lorsque l'on a besoin comparait à d'autres sociétés de crédit et qui même avec deux salaires et aucun crédit en cours "" vous réponde nous ne pouvons donner suite à votre demande "" sans aucune explication. Je vous recommande d' aller chez Cofidis car ils sont vraiment bien. Merci Cofidis"
A l'écoute des clients bravo,2021-02-23T19:24:32Z,5,Date de l'expérience:23 février 2021
RAPIDE SERIEUX,2021-02-23T19:16:03Z,5,Date de l'expérience:23 février 2021
Très satisfait,2021-02-23T19:13:13Z,5,Date de l'expérience:23 février 2021
Merci de votre professionnalisme,2021-02-23T19:09:30Z,5,Merci de votre professionnalismeCordialement
Bonsoir je remercie le conseiller Mr…,2021-02-23T19:05:32Z,5,Bonsoir je remercie le conseiller Mr Sébastien qui avait pris ma demande à charger et ainsi une autre de ses collègues qui m’a aider je suis très satisfaite
