title,date,star,text
Pire banque imaginable !,2020-12-27T09:45:36+00:00,1,"Pire banque imaginable !Comme beaucoup de personnes, d'immenses problèmes avec le service client et ce même dans une situation urgente de compte vraisemblablement piraté ! Au lieu de me permettre d'accéder à mon compte, et de le protéger, ""Bonnie"" qui découvre que j'ai fait un virement important il y a plusieurs mois, exige que je fournisse immédiatement le justificatif qu'ils ne m'avaient jamais demandé depuis juin !J'explique que je le fournirai sans problème d'ici demain mais que je ne l'ai pas sur moi et qu'il faut de façon urgente s'occuper de sécuriser mon compte: j'ai reçu un mail m'informant d'une opération que je n'ai jamais faite.""Bonnie"" s'en moque complètement et met fin à la conversation.Je souligne qu'il m'a fallu attendre plus d'une heure, pour obtenir de ""chatter"" avec un humain et ne plus avoir à faire au robot très mal conçu qui fait tourner en bourrique (mais n'est finalement pas plus incompétent que ""Bonnie"" ce qui en dit long sur leurs ""conseillers"")...Cela fait plus de deux mois ! Et je n'ai toujours pas pu accéder à mes comptes pour constater les éventuelles piratages ! Il y avait à la base une grande somme d'argent sur le compte. Je suis cliente de nombreuses banques en ligne, jamais je n'ai vu un service aussi lamentable !NB: la note de cette banque était de moins de 2 il y a deux mois: elle a visiblement été augmentée artificiellement avec pleins d'avis positifs vraisemblablement téléguidées qui ont été postés récemment.En réponse à votre réponse : il ne s'agit pas d'une mésaventure mais d'un dysfonctionnement grave de votre part. J'attends, sans illusion, votre coup de téléphone que vous m'aviez déjà annoncé par mail sans donner suite, peut-être le fait de l'annoncer publiquement vous incitera cette fois à tenir parole. Quant aux avis qui sont brusquement apparus pour redorer votre note qui était catastrophique il y a encore quelques mois- et ils sont apparus, il me semble, à peu près au moment où vous avez été épinglés pour avoir artificiellement gonflé les chiffres de votre base de clients-, je note que c'est le seul aspect auquel vous prenez réellement le temps de répondre: quid du plus grave, à savoir les multiples dysfonctionnement que dénoncent les nombreux avis catastrophiques lisible sur ce site ?"
pas d'avis particulier,2020-12-27T08:27:11+00:00,5,"Bénéficiaire de la carte Orange Bank standard, je n'ai pas d'avis particulier à émettre jusqu'à ce jour."
je suis tres contente du service…,2020-12-26T12:53:03+00:00,5,je suis tres contente du service apporte et la rapidite de disposition des fonds merci
Je ne peux donner mon avis pour le…,2020-12-26T00:07:28+00:00,5,Je ne peux donner mon avis pour le moment vu que je viens d ouvrir ce compte
Bonjour La gestion des Idents et mot de…,2020-12-25T16:08:30+00:00,3,Bonjour La gestion des Idents et mot de passe n'est pas aisée et facteur de perte de temps.CdtJacques
j attendsles offres promises,2020-12-25T16:07:29+00:00,4,
Satisfait,2020-12-24T15:00:50+00:00,4,J'apprécie surtout le fait que mon solde est à jour en temps réel.
très bien je suis satisfait,2020-12-24T14:00:42+00:00,4,
Très déçue,2020-12-24T10:31:46+00:00,1,"Très déçue, dialogues par chat incompréhensibles, pas de contact téléphonique, flou complet sur ce compte. Compte créé pour achat de téléphone très mauvais conseil de l'agence rien à voir avec la réalité ..."
Très bonne banque,2020-12-24T09:29:27+00:00,5,"Très bonne banque, tout est simple, et réactif"
Chez Orange Bank depuis 2018,2020-12-24T09:20:12+00:00,1,"Chez Orange Bank depuis 2018. Le pire choix bancaire de ma vie. Pour augmenter le plafond de la carte: PAYER LA VISA PREMIUM, avoir des avantages Orangesmartphone ou autre: PAYER LA VISA PREMIUM. SI vous ne l'a prenez pas vous aurez plein de blocages sur votre compte même pour les virements. J'ai eu tellement de galère quand je l'avais passé en banque principale. Je déconseille carrément."
Avis moyen pour la réponse des solutions,2020-12-24T06:26:52+00:00,3,
Très bonne banque en ligne,2020-12-23T23:28:59+00:00,5,
Orangepas mûre,2020-12-23T23:10:22+00:00,3,pratiqueoui mais. ?...
Parfait parfait,2020-12-23T22:49:41+00:00,5,
faire un vrai cash back,2020-12-23T21:30:36+00:00,4,
"Orange Bank, la banque de demain.",2020-12-23T19:33:05+00:00,5,Je suis très heureuse d'avoir ouvert un compte chez Orange Bank. La carte Visa est gratuite et offre beaucoup de possibilités. Merci Orange Bank
J'arrive pas à me d'inscrire,2020-12-23T17:53:38+00:00,1,
Satisfaction totale…,2020-12-23T17:42:26+00:00,4,Satisfait de l'utilisation de mon compte.Plus particulièrement de l'obtention des prêts.
J'en suis très content je la conseille…,2020-12-23T17:12:31+00:00,5,J'en suis très content je la conseille à mon entourage.
Pas de relationnel téléphonique.,2020-12-23T16:36:21+00:00,1,"Aucun contact possible par téléphone.J'ai été confronté à un problème de connexion, qui m'a coûté très cher, je n'ai jamais pu m'expliquer de vives voix.Très déçu de l'approche client, il y en a pas...."
Pas de service client sauf pour vendre…,2020-12-23T15:53:34+00:00,1,Pas de service client sauf pour vendre un peu plus
Une équipe professionnelle,2020-12-23T15:30:56+00:00,5,"Une équipe professionnelle, dynamique et très agréable"
C est vraiment une super carte et j…,2020-12-23T15:13:19+00:00,5,C est vraiment une super carte et j adore payer avec mon mobile
Aucun problème depuis l'ouverture de…,2020-12-23T14:42:02+00:00,4,Aucun problème depuis l'ouverture de mon compte le seul problème c'est d'avoir un conseiller au téléphone prends un peu de temps
A part le blocage des chèques 60 jours…,2020-12-23T14:14:10+00:00,4,"A part le blocage des chèques 60 jours sur compte courant ou livret , non précisédans le contrat , Je n’ai rien à reproché à Orange Bank . Les conseillers ont été toujours courtois malgré mes nombreux appels ."
Je n'arrive pas à parrainer mes enfants,2020-12-23T13:39:15+00:00,1,Je n'arrive pas à parrainer mes enfantsDès fois le sans contact ne fonctionne pas.On me prélève 2€ alors que ça devrait être gratuitMerci
paiements refusés sans aucune raison (…,2020-12-23T13:27:43+00:00,1,"paiements refusés sans aucune raison ( obligation d'avoir une autre carte bancaire pour ne pas se retrouver dans les ennuis ) tchat ne sert à rien, conseillers clients injoignables par téléphone. Lorsque les paiements sont refusés l'argent est quand même débité et reste en attente dans l'application"
Connection et navigation hyper simples…,2020-12-23T12:46:08+00:00,5,"Connection et navigation hyper simples et fluides , contrairement à ce que je connais sur la plupart des sites bancaires "" classiques "" !"
Inadmissible,2020-12-23T11:29:57+00:00,1,Cela fait des semaines que j'essaie d'obtenir la fermeture de mon compte. Visiblement ces pirates le jouent à l'usure!Inadmissible!
Reclamation,2020-12-23T09:23:59+00:00,2,Impossible de vous contacter avec des colites bloqués en lecrltuee
Fonctionne bien.des début difficiles…,2020-12-23T08:42:49+00:00,4,Fonctionne bien.des début difficiles mais maintenant tout ok avec smartphone.
Une banque comme on en rêverait !,2020-12-23T08:35:21+00:00,5,Enfin une banque qui nous simplifie la vie !
Banque sans soucis,2020-12-23T06:57:57+00:00,5,Rien de négatif !Paiement par téléphone très agréable !
Que du bonheur,2020-12-23T06:43:01+00:00,5,Facile et efficace et surtout sans frais de tenue de compte
Banquier ou/et voleur ?,2020-12-23T06:07:59+00:00,1,"50 euros de frais de rejet pour un prélèvement, on est proche de l'escroquerie... je clôture mon compte et vous mets en garde contre ses frais prohibitifs."
Je l ai déja dit précédemment,2020-12-23T06:02:22+00:00,4,Je l ai déja dit précédemment : l interface gagnerait à être améliorée pour que les fonctions soient clairement accessibles. Sinon c est vraiment pratique.
Impossible de joindre un conseiller,2020-12-23T05:44:38+00:00,1,Impossible de joindre un conseiller. Compte pas toujours tenu à jour.Pour le débit différé date d'arrêt des comptes fantaisistes.
Je suis satisfaite,2020-12-23T04:50:28+00:00,4,
Banque internet,2020-12-23T03:55:09+00:00,5,Très bonne banque internet Très bonne réactivité et les cartes bleues donnant le compte immédiatement sont très performantes.
banque de pro,2020-12-23T02:27:27+00:00,4,
Service au top,2020-12-23T02:20:29+00:00,5,Service au top. Mieux qu'une banque avec un guichet !!
Je suis très satisfait d'Orange Bank,2020-12-23T01:20:43+00:00,5,Je suis très satisfait d'Orange Bank. L'app android fonctionne très bien.
Les paiements ne fonctionnent pas…,2020-12-22T22:54:01+00:00,1,"Les paiements ne fonctionnent pas toujours alors que le compte est approvisionné. Attention dans les stations service, paiement souvent refusé. Certainement du fait que la carte est une carte de débit et non de retrait. Dommage... les conseillers, lorsque l'on peut les avoir, car le bots Djingo nous bloque, n'ont pas toujours les bonnes réponses. C'est la 1ère banque en ligne que j'utiliste. Donc à voir avec d'autres après comparaison"
Excellente banque,2020-12-22T21:15:23+00:00,5,
Mouais bof,2020-12-22T20:49:45+00:00,1,Mouais bof Beaucoup de pub et pas de choses très utiles
Très mauvaise expérience car au mois de…,2020-12-22T19:39:41+00:00,1,Très mauvaise expérience car au mois de juillet j'ai parrainé ma filleule nous sommes au mois décembre à ce jour ni moi ni ma filleule avons reçu cette fameuse prime de parrainage.
Parfait,2020-12-22T18:15:18+00:00,5,"Tout ce qu'une bank en ligne doit avoir ! Pas comme certaine AUTRES qui n'ont rien compris au terme ""en ligne"" Je recommande a 104%"
Banque à fuir!,2020-12-22T17:17:39+00:00,1,Très prompt à prendre des frais (frais dossier succession de 300€ en l'occurence) mais pas pressé de stopper les mouvements automatiques entre compte et livret. Logique car très fructueux pour eux et générateurs d'agios: le compte se vide petit à petit vers Orange Bank. Inadmissible dans une telle situation!
J'ai un compte chez vous,2020-12-22T16:32:32+00:00,1,"J'ai un compte chez vous , je n'y ai pas accès"
Rien ne fonctionne !,2020-12-22T13:05:23+00:00,1,"Après avoir activé ma carte avec succès, j'ai bien reçu un e-mail me confirmant que ma carte était active. Le matin : impossible de retirer de l'argent ! Le midi : impossible de payer par carte (sans contact) ou avec le téléphone, dans 2 commerces différents."
Carte refusée,2020-12-22T11:37:53+00:00,1,Carte refusée et pourtant compte bien approvisinner et cela sur différent mois très désagréable
RAS pour l'instant.,2020-12-22T10:14:53+00:00,4,Mise en service du compte en banque rapide. Rien à signaler pour l'instant.
J'ai l'impression que ces notations ne…,2020-12-22T09:13:57+00:00,3,J'ai l'impression que ces notations ne sont jamais suivies d'effets et ne servservent à rien
Impossible de recevoir le mail…,2020-12-20T11:02:04+00:00,1,"Impossible de recevoir le mail identifiant, malgré multiplesss tentatives de notre conseiller de la boutique Orange qui lui et très professionnel. Nous avons quand même attendu 3heures sans résultat positif"
Conseiller pro et au top,2020-12-20T10:33:01+00:00,5,
Très satisfait,2020-12-19T16:15:04+00:00,4,
Dématérialisez le dépôt de chèque et vous serez parfait !,2020-12-19T10:28:54+00:00,4,"Il manque un système de dépôt de chèque en ligne, cruellement ! Aujourd'hui envoyer un courrier est devenu une démarche fastidieuse et encombrante du quotidien que tout le monde préférerait s'éviter d'autant plus que ça vous donnerait un argument marketing de poids, le dernier dont vous ayez besoin à mon sens, étant donné le nombre important de métiers et d'entreprises qui paient les salaires par chèque encore de nos jours comparé au nombre de banques ayant dématérialisé ce service. Pour le reste je suis content d'être enfin chez vous et je suis entièrement satisfait !"
Tres satisfaite de vos service,2020-12-18T23:43:10+00:00,5,
Excellent et fluide,2020-12-18T04:29:12+00:00,5,
"bien explicite par le conseillier,et…",2020-12-16T21:03:05+00:00,5,"bien explicite par le conseillier,et tres rassurant"
Perplexe et inquiet,2020-12-16T15:29:09+00:00,1,"Ayant constaté une différence importante entre le total des opérations apparaissant sur l’application Orange Bank de mon IPhone et le solde du jour de mon compte affiché sur cette même application, je ne peux joindre aucun conseiller par téléphone ( 01.43.60.01.52 seul contact communiqué raccroche systématiquement au bout de quelques minutes d’attente infructueuse) et je n’ai aucune réponse aux réclamations que j’adresse via l’application. Que faire ?Rétrospectivement, si j’avais pu imaginer cela, je n’aurais jamais ouvert un compte auprès d’Orange Bank"
Super Bank,2020-12-16T11:36:53+00:00,4,Super Bank. Je conseille fortement.
Très bon service totalement satisfait,2020-12-16T10:46:49+00:00,5,
Bonjour,2020-12-16T10:04:28+00:00,1,"Bonjour, ce message pour signaler que orange bank et une entreprise qui vole ces clients,je la déconseille fortement . Je vais déposer plainte pour escroquerie en bande organiser, il me manque au minimum 156 euros sur mon compte depuis des mois qui ont disparu . Et sans aucune réponse de leur services . C’est une honte"
Dossier long à finaliser,2020-12-16T09:50:06+00:00,3,"Bonjour, de par mon expérience, c'est vraiment la qualité des instructions des conseillers chats qui est à améliorer ( l'accueil et la sympathie m'ont été très agréable, mais ce serait bien que ces conseillers puissent reprendre le dossier afin d'éviter la mauvaise compréhension du problème).En revanche, l'accueil de ces derniers et des conseillers téléphoniques étaient au top, à continuer car très agréable !"
Satisfait du service et de la réponse…,2020-12-15T17:14:17+00:00,4,Satisfait du service et de la réponse assez rapide lors d'un problème rencontré.
Impossible de valider l'ouverture d'un…,2020-12-15T16:17:14+00:00,1,Impossible de valider l'ouverture d'un compte pour ma compagne Ma carte orange ne marche pas et de plus impossible de payer avec un autre moyen de paiement comme tout simplement un virement .on ne vous le propose pas?Donc vous devez demandé a un ami de vous versé de l'argent sur votre compte afin de pouvoir validé votre ouverture pour le premier versement Bon on a appelè le service client en chat et la on vous renvoie le même lien qui ne marche pas avec ma carte car carte orange .Pas de possibilité de faire un virement depuis le compte en banque de ma compagne cherchez l'erreur ça tourne en rond C'est pourtant très simple si on ouvre un compte avec une carte chez orange pour ma compagne c'est bien pour avoir une carte sinon on en aurais pas besoinLa galère quoi!! Les experts en tchat pire que le robot !!! Ben du coup on vas changer de crémerie! très déçu dommage aucune solution proposée malgré plusieurs contacts en tchat et même au téléphone incompréhensible .Chez la concurrence tout est ok avec un virement direct ! Je pense que Orange méprise ses petits clients à mon avis personnel
Satisfait,2020-12-14T10:59:51+00:00,5,Très satisfait du résultat
"Cette banque possède un bon ""fond"" mais…",2020-12-14T10:53:22+00:00,1,"Cette banque possède un bon ""fond"" mais est terriblement inefficace si vous sortez de transactions basiques. Les paiements cartes à l'étranger sont refusés / bloqués. Et la carte est bloquée plusieurs jours par la suite. Djingo est stupide et pas de conseiller joignable... Pour faire des paiements à l'étranger on nous dit de faire des virements sauf que le délai est très long. Bref, si vous voyagez ou si vous avez des enfants, proches à l'étranger... fuyez !"
pas sérieux,2020-12-14T07:21:43+00:00,1,"Hello, nous sommes le 14/12 et mafemme n'a toujours pas recu sa nouvelle carte. Quelle banquedigne de ce nom laisse une cliente sans carte pendant 15 jours( et surement plus)."
Jeune Banque qui n'a rien à envier à…,2020-12-13T07:44:10+00:00,5,Jeune Banque qui n'a rien à envier à une autre grande banque.Très Satisfait de faire parti de leurs clients !
IMPORTANT A lire...,2020-12-12T01:19:32+00:00,1,"Si vous googlez,cette soi-disant banque bloque les comptes sans raisons et il est impossible de les joindre par telephone.il vous reste uniquement le chat soit avec un robot stupide ou des ""experts"" plus automatisés qu'un robot qui sont ""toujours navrés"" sans qu'ils puissent vous apportez une solution ou moins un eclairessement.Le compte reste bloque plus d'un an et vous n'aurez jamais de contact.A FUIR et merci de lancer des profondes recherches avant d'y créer un compte car your money matters"
Au top,2020-12-11T11:28:13+00:00,5,Très bien accueilli service super explication précise
Pas de robot svp,2020-12-10T20:20:09+00:00,1,Je n’ai pas reçu mon ident et le robot me renvoie constamment sur la même réponse je souhaite avoir un correspondant
Conseiller Antoni,2020-12-10T10:18:56+00:00,5,Conseiller Antoni très compétent.
Orange bank a confondu Banque en ligne et banque virtuelle !,2020-12-10T10:04:14Z,1,"Bonjour, Orange bank a confondu Banque en ligne et banque virtuelle ! Aucun service client n'est joignable, après plusieurs incidents vraiment trés basiques pour lesquels j'ai du ""échanger"" avec un robot pendant 1h avant d'avoir un pseudo ""expert"" en ligne pour débloquer une carte (bloquée sans aucune raison, solde Ok, ...).Bref, l'application est simple mais il ne faut pas confondre En ligne et Virtuel , le service est une catastrophe, je n'ose même pas imaginer si un client a un VRAI problème ...Bref, à éviter"
Merci conseiller super !!,2020-12-09T17:53:46Z,5,Merci conseiller super !!! A l’écoute et ma permis de découvrir orange Bank !!! Merci encore au top!!!
Rapide et efficace mais comme j'étais…,2020-12-09T16:12:18Z,5,Rapide et efficace mais comme j'étais déjà chez Sosh pas besoin de justificatif juste la pièce d'identité et le permis de conduire donc rapide
Ouverture de compte facile en ligne,2020-12-08T10:43:18Z,4,"Ouverture de compte facile en ligne, réactivité de validation 48hÀ ce stade tout va bien ... à suivre"
le service client reste fortement à désiré,2020-12-08T08:45:30Z,1,J'ai un seul compte chez eux et je voudrais avoir accès a l'application mais impossible d'y arriver ni de joindre un conseiller pour une quelconque aide ni via le chat ni par téléphone ni par mail
chez Orange banque tous va bien si tu n as besoin de rien,2020-12-06T14:20:06Z,1,"j ai pris une carte de paiement chez Orange banque pour mes paiementsen ligne. mais ils sont refusés bien que mon compte soit Creditueur.plus d une semaine à essayer en vaint, d avoir un expert ! ils ne repondent ni aux messages sur application, ni aux appels, ils sont carrément injoiniables !!si t as besoin de rien ça va !!je veux juste faire de petits achats en lignevoilà le SMS que je reçois à chaque achat !''Bonjour Jean-Manuel, suite à un incident technique, votre paiement de 4.02 € a malheureusement été refusé. Pouvez-vous réessayer ? Sinon contactez-nous par chat.''le chat c est un robot qui ne comprend rien !!!chez Orange il fau 3 opérations par mois pour pas avoir de frais !! mais encore faut t il pouvoir les faire !!!"
Personnel très accueillant et très…,2020-12-05T23:17:47Z,5,Personnel très accueillant et très explicite .je suis vraiment ravie de passer chez orange.
Réel témoignage d´un sérieux prêt…,2020-12-05T17:42:46Z,5,"Réel témoignage d´un sérieux prêt acquisLorsque les banques ou les proches ne peuvent vous suivre, il est bon de savoir qu'il existe une entraide quelque part. Pour toute demande de prêt entre particulier envoyez un mail directement a ce Monsieur qui m'a satisfait en 72 heures. Grâce à lui, aujourd'hui j'arrive à joindre les deux bouts et je lui serai reconnaissante toute ma vie. Contactez le si vous êtes dans le besoin pour vos demandes sérieuses et rapide.Voici son e-mail: services @credit-finance-euro.comSite Web : credit-finance-euro.comE-mail : services @credit-finance-euro.com"
Déjà très satisfait,2020-12-05T12:27:13Z,5,"Bonjour, étant nouvel utilisateur, j'ai finalisé mon inscription il y a quelques jours et j'ai installé l'application Orange bank que je trouve très bien conçue. J'en ai entendu parler autour de moi et je n'ai pas hésité à choisir Orange Bank. Tout s'est fait très rapidement. Je suis déjà très satisfait de vos services."
Cool trop bien,2020-12-04T12:44:06Z,4,
Très bon concept 😊 a recommander,2020-12-03T11:09:07Z,5,
Arnaque,2020-12-03T09:36:19Z,1,"J'ai procédé à l'ouverture d'un compte Orange Bank, en fin d'année 2019, suite à la proposition d'un commercial chez Orange.Comme toute ouverture, un document à dû être rempli, avec une pièce d'identité. Je devais verser la somme de 50 euros, et une carte bancaire devait m'être envoyée. Après un mois d'attente, je me suis manifestée auprès d'Orange Bank pour les avertir de la non réception de cette carte.J'ai toujours eu beaucoup de mal pour les joindre par téléphone. Je ne pouvais effectuer aucune opération sur ce compte. Après plusieurs mois d'attente (Orange Bank était toujours dans le déni) j'ai clôturé ce compte, avec un solde créditeur.Depuis presque un an, je me bats entre appels téléphoniques et mails, pour demander mon remboursement de solde suite à la clôture de ce compte. A ce jour, je suis toujours dans l'attente... Bientôt un an...!!! Conclusion, pour l'ouverture, c'est facile. En revanche, pour le remboursement après clôture, Orange Bank s'enrichit sur le dos des personnes vulnérables !!!"
Bien bonne banque,2020-12-03T07:40:04Z,4,
Manque vraiment de sérieux,2020-12-01T16:25:42Z,1,Débit de mes courses au supermarché débit d un euro en plus .. rectification après réclamation Carte défectueuse depuis 3 ou 4 jours Réclamation .... pas de réponse...Je pense que je vais transférer mon argent ailleurs !!! Ca manque de sérieux... Il y a vraiment un manque de rigueur !!!!!
Mauvaise expérience,2020-12-01T13:31:43Z,1,"J'ai un problème pour me connecter sur le web, et le conseiller en tchat ne répond pas à votre question et est et susceptible. Mauvaise expérience!"
Changement de type de débit de carte sans informer,2020-12-01T10:10:12Z,1,"Ma carte bancaire devait être renouvelée avant fin novembre ; il y a du retard car Orange Bank a choisi de passer chez Mastercard.Je reçois la nouvelle carte et surprise, après les premiers achats, je découvre que je suis passé de débit différé à débit immédiat. Je viens de passer du temps avec un conseillerC'est normal, on a changé le contrat, sans vous informer, et si vous voulez du différé, il faut passer en premium ... Et donc payer.DOnc changement de banque"
Cela fait un mois que j’essaye de…,2020-12-01T07:40:02Z,1,"Cela fait un mois que j’essaye de finaliser l’ouverture de mon compte je suis face a un mur suite à une erreur de saisie. Après de multiples appels téléphoniques, envoi de mails et déplacements en boutique, je n’ai pas trouvé la personne compétente chez Orange Bank qui puisse trouver une solution cela en devient ridicule c’est plus facile douvrir un compte à l’étranger.Je suis très insatisfaite les banques en ligne ont leurs limites. Pas d’interlocuteur responsable, des opérateurs comme des robots avec des phrases toutes faites !!!!"
Banque simple et facile à utiliser,2020-11-30T10:03:55Z,5,Banque simple et facile à utiliser. Tout en restant à notre écoute respecte bien nos données personnelles et confidentielles
Je ne conseille pas...,2020-11-29T23:47:16Z,1,"Des frais lorsqu'on n'utilise pas la carte, qui finissent par coûter cher... J'ai arrêté d'utiliser l'appli il y a déjà de nombreux mois, je souhaite fermer mon compte et ai contacté le service client (car le bot ne couvre pas tous les cas d'usages) sans réponse... Si les conditions d'utilisation n'ont pas changé, je déconseille toujours Orange Bank pour le compte ""gratuit"", mais peut-être ont-elles évolué ?/EDIT suite à réponse/ Merci pour la réponse, mais Djingo ne fonctionne jamais correctement : ni pour un code oublié, ni pour d'autres questions posées précédemment. Il tourne en rond et ne permet pas d'avoir un conseiller même après de longues attentes. Je n'utilise plus l'app, j'ai bien l'identifiant mais je ne me souviens pas du code d'accès. Code oublié me renvoie sur Djingo, qui me dit de cliquer sur code oublié... D'où mon mail au service client resté sans réponse [ ref:_00D58asry._500083t4C73:ref ]"
Sans soucis depuis 2ans,2020-11-29T18:50:16Z,4,
Flexibilité,2020-11-29T14:17:39Z,5,
Je recommande vivement Orange Bank à tous,2020-11-29T07:22:24Z,5,"Pour moi, Orange Bank est une excellente banque mais faut juste nous trouver un point de dépôt et de retrait ça serait l'idéal pour nous les clients."
Je recommande vivement orange bank,2020-11-29T01:00:07Z,4,Je recommande vivement orange bankC'est équivalent autres banques 🏦 mais avec moins de frais
Inscription rapide,2020-11-28T18:38:49Z,4,"Inscription rapide, le choix du code de la carte bancaire c'est top. Pour le moment, rien à redire."
Très satisfait,2020-11-28T13:03:13Z,5,
Accessible et simple,2020-11-27T16:54:07Z,5,
Création compte en ligne facile,2020-11-27T16:52:53Z,5,
PAS POSSIBLE DE PAYER DANS LA BOUTIQUE…,2020-11-26T18:20:31Z,3,PAS POSSIBLE DE PAYER DANS LA BOUTIQUE ORANGE
L’application est presque impossible à…,2020-11-26T10:35:25Z,1,L’application est presque impossible à utiliser car il y a toujours le même message qui dit : désolé le service est momentanément indisponible.L’aide en ligne est complètement inefficace. C’est un robot qui ne comprend rien.
Presque 2 ans de bonheur,2020-11-25T13:14:49Z,5,"Facile de créer son compte, de le modifier comme bon vous semble. Jamais de problèmes avec la banque ou la carte bancaire. Me permet de suivre mon compte en temps réel sur l'application ou le site internet et ainsi de mieux gérer mon argent. L'appli est excellente, propre,fluide, facile d'utilisation et toutes les informations dont vous avez besoin y sont disponibles."
👍👍 je recommande à 100%,2020-11-24T18:59:34Z,5,👍👍 je recommande à 100%. Alerte des que j'ai un retrait et tous paiements déduits dessuite. Application au top. Bravo à vous
Je valide et je re valide,2020-11-24T17:34:32Z,5,"Service rapide et très facile d’utilisation !!! Jamais de problème, je suis au courant immédiatement de chaque dépenses ! Je valide à 200%"
